# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.29
8                      29.60
16                     29.38
32                     29.25
64                     29.56
128                    30.63
256                    32.27
512                    32.47
1024                   33.02
2048                   34.56
4096                   35.82
8192                   46.48
16384                  54.09
32768                  64.62
65536                  76.18
131072                 87.09
262144                120.28
524288                183.20
1048576               299.09
