# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     115.03
2                     114.53
4                     115.25
8                     116.12
16                    116.72
32                    118.80
64                    122.22
128                   127.99
256                   133.58
512                   142.38
1024                  157.02
2048                  173.53
4096                  202.28
8192                  259.74
16384                 401.50
32768                 874.87
65536                2119.49
131072               5208.38
262144              11511.03
524288              80723.61
1048576            146384.69
