# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      58.74
2                      58.02
4                      58.04
8                      57.71
16                     57.75
32                     58.35
64                     58.58
128                    58.46
256                    57.20
512                    57.66
1024                   57.70
2048                   57.82
4096                   57.79
8192                   58.53
16384                  58.51
32768                  57.80
65536                  58.67
131072                 57.87
262144                 58.76
524288                 78.32
1048576                69.93
