
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.56
2                       0.55
4                       0.55
8                       0.56
16                      0.66
32                      0.66
64                      0.66
128                     0.68
256                     0.73
512                     0.99
1024                    0.99
2048                    1.00
4096                    1.01
8192                    1.03
16384                   1.09
32768                   1.46
65536                   1.97
131072                  2.55
262144                  3.61
524288                 11.92
1048576                18.59
2097152                36.73
4194304                71.79
