
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      10.03
2                      19.53
4                      39.76
8                      79.03
16                    141.50
32                    281.83
64                    255.52
128                   424.81
256                   955.06
512                  2084.66
1024                 3524.61
2048                 7583.89
4096                13549.58
8192                22343.73
16384               30930.44
32768               48742.58
65536               66262.85
131072              74560.72
262144              69739.42
524288              50094.39
1048576             42322.76
2097152             42384.90
4194304             41297.06
