# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           1             1      int8     sum      -1     8.31    0.00    0.00       0     8.32    0.00    0.00       0
           2             2      int8     sum      -1     8.35    0.00    0.00       0     8.25    0.00    0.00       0
           4             4      int8     sum      -1     8.42    0.00    0.00       0     8.35    0.00    0.00       0
           8             8      int8     sum      -1     8.42    0.00    0.00       0     8.37    0.00    0.00       0
          16            16      int8     sum      -1     8.28    0.00    0.00       0     8.31    0.00    0.00       0
          32            32      int8     sum      -1     8.81    0.00    0.01       0     8.71    0.00    0.01       0
          64            64      int8     sum      -1     9.45    0.01    0.01       0     9.39    0.01    0.01       0
         128           128      int8     sum      -1     9.60    0.01    0.02       0     9.41    0.01    0.02       0
         256           256      int8     sum      -1     9.84    0.03    0.04       0     9.43    0.03    0.04       0
         512           512      int8     sum      -1    10.04    0.05    0.08       0     9.42    0.05    0.08       0
        1024          1024      int8     sum      -1     9.80    0.10    0.16       0     9.44    0.11    0.16       0
        2048          2048      int8     sum      -1    10.09    0.20    0.30       0     9.58    0.21    0.32       0
        4096          4096      int8     sum      -1    10.06    0.41    0.61       0     9.67    0.42    0.64       0
        8192          8192      int8     sum      -1    10.54    0.78    1.17       0    10.03    0.82    1.23       0
       16384         16384      int8     sum      -1    12.12    1.35    2.03       0    11.83    1.39    2.08       0
       32768         32768      int8     sum      -1    12.51    2.62    3.93       0    11.98    2.73    4.10       0
       65536         65536      int8     sum      -1    12.49    5.25    7.87       0    12.10    5.42    8.12       0
      131072        131072      int8     sum      -1    12.99   10.09   15.13       0    12.46   10.52   15.78       0
      262144        262144      int8     sum      -1    12.99   20.19   30.28       0    12.56   20.87   31.30       0
      524288        524288      int8     sum      -1    16.77   31.27   46.90       0    15.76   33.26   49.90       0
     1048576       1048576      int8     sum      -1    21.99   47.68   71.52       0    21.63   48.47   72.71       0
     2097152       2097152      int8     sum      -1    35.15   59.65   89.48       0    35.05   59.83   89.74       0
     4194304       4194304      int8     sum      -1    58.09   72.21  108.31       0    57.59   72.83  109.24       0
     8388608       8388608      int8     sum      -1    72.16  116.25  174.38       0    71.30  117.65  176.47       0
    16777216      16777216      int8     sum      -1   109.01  153.91  230.87       0   105.92  158.39  237.59       0
    33554432      33554432      int8     sum      -1   185.80  180.59  270.89       0   184.76  181.61  272.41       0
    67108864      67108864      int8     sum      -1   345.89  194.02  291.02       0   344.51  194.80  292.19       0
   134217728     134217728      int8     sum      -1   645.78  207.84  311.76       0   641.63  209.18  313.77       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 59.5477 
#
# Collective test concluded: all_reduce_perf
#

