# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0      int8    none      -1     0.18    0.00    0.00       0     0.13    0.00    0.00    N/A
           0             0      int8    none      -1     0.13    0.00    0.00       0     0.17    0.00    0.00    N/A
           0             0      int8    none      -1     0.14    0.00    0.00       0     0.14    0.00    0.00    N/A
           0             0      int8    none      -1     0.16    0.00    0.00       0     0.15    0.00    0.00    N/A
           0             0      int8    none      -1     0.15    0.00    0.00       0     0.16    0.00    0.00    N/A
           0             0      int8    none      -1     0.15    0.00    0.00       0     0.15    0.00    0.00    N/A
          64            16      int8    none      -1     6.99    0.01    0.01       0     6.76    0.01    0.01    N/A
         128            32      int8    none      -1     7.11    0.02    0.01       0     6.98    0.02    0.01    N/A
         256            64      int8    none      -1     7.19    0.04    0.03       0     6.81    0.04    0.03    N/A
         512           128      int8    none      -1     7.17    0.07    0.05       0     6.93    0.07    0.06    N/A
        1024           256      int8    none      -1     7.16    0.14    0.11       0     6.72    0.15    0.11    N/A
        2048           512      int8    none      -1     7.07    0.29    0.22       0     6.89    0.30    0.22    N/A
        4096          1024      int8    none      -1     7.21    0.57    0.43       0     6.84    0.60    0.45    N/A
        8192          2048      int8    none      -1     7.34    1.12    0.84       0     7.08    1.16    0.87    N/A
       16384          4096      int8    none      -1     7.85    2.09    1.57       0     7.56    2.17    1.62    N/A
       32768          8192      int8    none      -1     8.76    3.74    2.81       0     8.35    3.92    2.94    N/A
       65536         16384      int8    none      -1    10.20    6.42    4.82       0     9.70    6.76    5.07    N/A
      131072         32768      int8    none      -1    12.48   10.50    7.88       0    11.74   11.17    8.38    N/A
      262144         65536      int8    none      -1    14.01   18.71   14.03       0    13.64   19.21   14.41    N/A
      524288        131072      int8    none      -1    14.26   36.77   27.58       0    14.01   37.44   28.08    N/A
     1048576        262144      int8    none      -1    14.90   70.38   52.78       0    14.76   71.04   53.28    N/A
     2097152        524288      int8    none      -1    17.51  119.76   89.82       0    17.42  120.39   90.29    N/A
     4194304       1048576      int8    none      -1    23.85  175.86  131.89       0    23.48  178.62  133.96    N/A
     8388608       2097152      int8    none      -1    36.24  231.46  173.59       0    35.70  234.99  176.24    N/A
    16777216       4194304      int8    none      -1    61.07  274.73  206.04       0    59.29  282.97  212.22    N/A
    33554432       8388608      int8    none      -1   103.34  324.69  243.52       0   102.63  326.94  245.20    N/A
    67108864      16777216      int8    none      -1   178.56  375.83  281.87       0   177.89  377.25  282.94    N/A
   134217728      33554432      int8    none      -1   324.69  413.38  310.03       0   325.83  411.92  308.94    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 55.6297 
#
# Collective test concluded: alltoall_perf
#

