# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_gather_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0      int8    none      -1     0.20    0.00    0.00       0     0.13    0.00    0.00       0
           0             0      int8    none      -1     0.12    0.00    0.00       0     0.13    0.00    0.00       0
           0             0      int8    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00       0
           0             0      int8    none      -1     0.15    0.00    0.00       0     0.15    0.00    0.00       0
           0             0      int8    none      -1     0.15    0.00    0.00       0     0.14    0.00    0.00       0
           0             0      int8    none      -1     0.14    0.00    0.00       0     0.12    0.00    0.00       0
          64            16      int8    none      -1     7.47    0.01    0.01       0     7.30    0.01    0.01       0
         128            32      int8    none      -1     7.46    0.02    0.01       0     7.36    0.02    0.01       0
         256            64      int8    none      -1     7.49    0.03    0.03       0     7.34    0.03    0.03       0
         512           128      int8    none      -1     7.59    0.07    0.05       0     7.45    0.07    0.05       0
        1024           256      int8    none      -1     7.59    0.13    0.10       0     7.29    0.14    0.11       0
        2048           512      int8    none      -1     7.74    0.26    0.20       0     7.39    0.28    0.21       0
        4096          1024      int8    none      -1     7.77    0.53    0.40       0     7.42    0.55    0.41       0
        8192          2048      int8    none      -1     8.10    1.01    0.76       0     7.80    1.05    0.79       0
       16384          4096      int8    none      -1     9.29    1.76    1.32       0     8.73    1.88    1.41       0
       32768          8192      int8    none      -1     9.41    3.48    2.61       0     8.92    3.67    2.76       0
       65536         16384      int8    none      -1     9.67    6.78    5.08       0     8.91    7.35    5.52       0
      131072         32768      int8    none      -1     9.95   13.18    9.88       0     9.37   13.99   10.49       0
      262144         65536      int8    none      -1    10.06   26.05   19.54       0     9.34   28.07   21.06       0
      524288        131072      int8    none      -1    11.99   43.73   32.80       0    11.00   47.68   35.76       0
     1048576        262144      int8    none      -1    14.83   70.69   53.01       0    13.42   78.14   58.60       0
     2097152        524288      int8    none      -1    20.24  103.62   77.71       0    19.48  107.63   80.72       0
     4194304       1048576      int8    none      -1    36.71  114.27   85.70       0    35.47  118.24   88.68       0
     8388608       2097152      int8    none      -1    45.81  183.10  137.32       0    44.01  190.61  142.96       0
    16777216       4194304      int8    none      -1    66.64  251.75  188.81       0    64.34  260.77  195.58       0
    33554432       8388608      int8    none      -1   116.31  288.50  216.37       0   106.22  315.90  236.93       0
    67108864      16777216      int8    none      -1   190.05  353.12  264.84       0   188.94  355.19  266.40       0
   134217728      33554432      int8    none      -1   353.67  379.50  284.62       0   351.85  381.47  286.10       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 50.2811 
#
# Collective test concluded: all_gather_perf
#

