# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           1             1      int8     sum      -1    97.44    0.00    0.00       0    39.63    0.00    0.00       0
           2             2      int8     sum      -1    39.04    0.00    0.00       0    39.79    0.00    0.00       0
           4             4      int8     sum      -1    38.98    0.00    0.00       0    38.87    0.00    0.00       0
           8             8      int8     sum      -1    39.34    0.00    0.00       0    38.86    0.00    0.00       0
          16            16      int8     sum      -1    39.32    0.00    0.00       0    38.15    0.00    0.00       0
          32            32      int8     sum      -1    39.45    0.00    0.00       0    39.19    0.00    0.00       0
          64            64      int8     sum      -1    45.26    0.00    0.00       0    46.15    0.00    0.00       0
         128           128      int8     sum      -1    46.70    0.00    0.01       0    46.34    0.00    0.01       0
         256           256      int8     sum      -1    53.95    0.00    0.01       0    46.28    0.01    0.01       0
         512           512      int8     sum      -1    48.42    0.01    0.02       0    46.82    0.01    0.02       0
        1024          1024      int8     sum      -1    50.23    0.02    0.04       0    49.40    0.02    0.04       0
        2048          2048      int8     sum      -1    55.08    0.04    0.07       0    54.43    0.04    0.07       0
        4096          4096      int8     sum      -1    60.20    0.07    0.13       0    58.32    0.07    0.14       0
        8192          8192      int8     sum      -1    63.41    0.13    0.25       0    59.36    0.14    0.27       0
       16384         16384      int8     sum      -1    64.27    0.25    0.50       0    63.55    0.26    0.51       0
       32768         32768      int8     sum      -1    63.01    0.52    1.02       0    62.69    0.52    1.03       0
       65536         65536      int8     sum      -1    76.67    0.85    1.68       0    73.87    0.89    1.75       0
      131072        131072      int8     sum      -1    95.39    1.37    2.71       0    94.40    1.39    2.73       0
      262144        262144      int8     sum      -1    99.63    2.63    5.18       0    97.81    2.68    5.28       0
      524288        524288      int8     sum      -1   110.39    4.75    9.35    4096   109.32    4.80    9.44       0
     1048576       1048576      int8     sum      -1   132.68    7.90   15.56       0   133.09    7.88   15.51       0
     2097152       2097152      int8     sum      -1   209.71   10.00   19.69   12160   556.86    3.77    7.41   20352
     4194304       4194304      int8     sum      -1   466.18    9.00   17.71   47568   462.78    9.06   17.84   17212
     8388608       8388608      int8     sum      -1   651.64   12.87   25.34    1768   650.33   12.90   25.40   12800
    16777216      16777216      int8     sum      -1   953.88   17.59   34.63       0   904.51   18.55   36.52       0
    33554432      33554432      int8     sum      -1   873.72   38.40   75.61       0  2338.66   14.35   28.25       0
    67108864      67108864      int8     sum      -1  18235.7    3.68    7.25       0  38742.7    1.73    3.41       0
   134217728     134217728      int8     sum      -1  85348.4    1.57    3.10       0  72846.0    1.84    3.63       0
# Out of bounds values : 408 FAILED
# Avg bus bandwidth    : 6.77034 
#
# Collective test concluded: all_reduce_perf
#

