# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                    1522.86
2                    1403.18
4                    1405.54
8                    1418.06
16                   1413.49
32                   1413.11
64                   1419.90
128                  1430.75
256                  1435.69
512                   101.20
1024                  102.46
2048                  105.16
4096                  127.15
8192                  130.85
16384                 132.66
32768                 167.97
65536                 249.16
131072                451.64
262144                886.72
524288               1718.25
1048576              3645.64
