# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.56
2                       2.99
4                       2.93
8                       3.08
16                      3.32
32                      3.36
64                      3.54
128                     4.03
256                     8.44
512                    11.56
1024                   16.18
2048                   21.04
4096                   27.32
8192                   45.75
16384                  47.05
32768                  50.09
65536                  55.73
131072                 67.91
262144                 94.55
524288                148.13
1048576               245.42
