# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      35.17
8                      33.83
16                     33.48
32                     35.01
64                     38.50
128                    44.03
256                    44.04
512                    44.72
1024                   44.79
2048                   45.51
4096                   46.73
8192                   48.31
16384                  49.45
32768                  49.08
65536                  48.91
131072                 49.37
262144                 93.35
524288                116.40
1048576               128.12
