
# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      45.17
2                      46.60
4                      46.88
8                      48.41
16                     47.81
32                     51.52
64                     61.00
128                    87.69
256                   138.85
512                   213.27
1024                  354.78
2048                  627.79
4096                 1372.56
8192                 2329.60
16384                5295.57
32768                6346.72
65536               10120.46
131072              18815.50
262144              35718.94
524288              67945.75
1048576            127950.72
