# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     315.64
2                     315.09
4                     315.53
8                     317.01
16                    316.45
32                    316.65
64                    319.60
128                   322.67
256                   325.54
512                   335.83
1024                  362.79
2048                  424.23
4096                  764.25
8192                  775.35
16384                1528.76
32768                3139.51
65536              174205.44
131072              10988.12
262144              11111.27
524288              11673.16
1048576             20113.92
