# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      43.11
2                      44.71
4                      53.09
8                      53.47
16                     58.40
32                     59.45
64                     73.52
128                    80.68
256                   183.95
512                   546.57
1024                  501.65
2048                  276.34
4096                  240.49
8192                  312.58
16384                 369.67
32768                 579.88
65536                 916.06
131072               1948.46
262144               3927.22
524288               7931.92
1048576             16297.42
