
# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.45
2                       4.65
4                       4.67
8                       4.46
16                      5.32
32                      5.45
64                      5.89
128                     9.23
256                     7.63
512                     8.98
1024                   24.37
2048                   23.46
4096                   26.97
8192                   67.21
16384                  61.81
32768                  69.28
65536                 162.79
131072                170.73
262144                198.16
524288                257.30
1048576               364.71
