# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.24
2                       2.96
4                       2.82
8                       3.04
16                      3.27
32                      3.37
64                      3.51
128                     4.01
256                     5.40
512                     6.66
1024                   10.04
2048                    9.85
4096                   12.62
8192                   18.18
16384                  32.90
32768                  57.44
65536                 110.06
131072                214.54
262144                419.23
524288                819.50
1048576              1637.94
