# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      18.26
8                      18.12
16                     17.87
32                     18.06
64                     18.38
128                    20.00
256                    30.50
512                    30.83
1024                   34.17
2048                   37.18
4096                   41.94
8192                   78.76
16384                 209.58
32768                 236.28
65536                 249.18
131072                255.13
262144                272.81
524288               1238.00
1048576              2600.42
