# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.17
2                       4.67
4                       4.60
8                       4.43
16                      5.41
32                      5.24
64                      5.86
128                     8.47
256                     7.79
512                     9.18
1024                   10.61
2048                   10.53
4096                   11.56
8192                   12.80
16384                  16.18
32768                  23.00
65536                  41.02
131072                 65.65
262144                118.24
524288                184.94
1048576               331.13
