# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.72
8                      30.44
16                     30.56
32                     30.47
64                     30.90
128                    33.27
256                    45.94
512                    50.46
1024                   52.89
2048                   56.56
4096                   61.70
8192                   74.62
16384                  95.56
32768                 111.60
65536                 136.82
131072                200.48
262144                650.11
524288               3901.36
1048576              5130.19
