# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      34.33
2                      33.32
4                      33.49
8                      33.58
16                     33.26
32                     33.31
64                     33.38
128                    33.50
256                    32.76
512                    33.25
1024                   33.65
2048                   33.98
4096                   35.29
8192                   35.62
16384                  38.66
32768                  45.01
65536                  49.38
131072                 54.47
262144                 69.25
524288                102.33
1048576               169.99
