
# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.71
8                       2.55
16                      2.49
32                      2.49
64                      2.69
128                     2.89
256                     3.52
512                     7.03
1024                    7.93
2048                    9.52
4096                   12.24
8192                   17.38
16384                  24.17
32768                  32.00
65536                  51.63
131072                 82.55
262144                153.87
524288                282.68
1048576               578.48
