
# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      34.78
2                      36.36
4                      38.61
8                      41.56
16                     44.69
32                     47.26
64                     50.38
128                    60.32
256                    95.82
512                   133.26
1024                  197.10
2048                  294.38
4096                 1145.73
8192                 2155.25
16384                9468.92
32768               10067.62
65536               11913.89
131072              12329.52
262144              15582.51
524288              21757.96
1048576             33399.71

MPICH Slingshot Network Summary: 3 network timeouts

