
# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.32
2                       2.96
4                       2.78
8                       3.02
16                      3.31
32                      3.35
64                      3.54
128                     4.02
256                     5.59
512                     6.61
1024                    7.91
2048                    9.44
4096                   13.23
8192                   19.23
16384                  29.77
32768                  56.73
65536                 112.80
131072                218.84
262144                395.70
524288                819.02
1048576              1660.50
