# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.97
8                      31.03
16                     30.65
32                     30.75
64                     31.07
128                    33.61
256                    49.81
512                    50.59
1024                   54.24
2048                   58.41
4096                   63.78
8192                  107.16
16384                 266.06
32768                 292.23
65536                 315.73
131072                373.34
262144                536.18
524288               5579.55
1048576              2296.11
