# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                   22343.46
8                   22375.96
16                  22361.08
32                  20119.15
64                     78.32
128                    79.49
256                    82.57
512                    87.92
1024                   95.68
2048                  105.75
4096                  106.24
8192                  104.93
16384                 111.59
32768                 118.91
65536                 143.50
131072                189.25
262144                276.56
524288                320.21
1048576               411.98
