# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.42
2                       4.61
4                       4.69
8                       4.45
16                      5.43
32                      5.30
64                      5.95
128                     8.96
256                     8.07
512                     9.35
1024                   23.46
2048                   22.86
4096                   25.93
8192                   60.97
16384                  72.62
32768                  69.28
65536                 165.53
131072                175.55
262144                202.13
524288                262.29
1048576               366.63
