0 gpu 4 2
1 gpu 2 2

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.43              Pass
2                       0.44              Pass
4                       0.43              Pass
8                       0.43              Pass
16                      0.55              Pass
32                      0.54              Pass
64                      0.56              Pass
128                     0.71              Pass
256                     0.74              Pass
512                     0.86              Pass
1024                    2.66              Pass
2048                    2.65              Pass
4096                    2.66              Pass
8192                   13.17              Pass
16384                  13.23              Pass
32768                  13.28              Pass
65536                  13.63              Pass
131072                 14.39              Pass
262144                 16.30              Pass
524288                 19.80              Pass
1048576                27.78              Pass
2097152                43.28              Pass
4194304                72.59              Pass
