1 gpu 2 2
0 gpu 4 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.48              Pass
2                       0.49              Pass
4                       0.49              Pass
8                       0.48              Pass
16                      0.62              Pass
32                      0.62              Pass
64                      0.63              Pass
128                     0.81              Pass
256                     0.84              Pass
512                     0.82              Pass
1024                    0.91              Pass
2048                    0.92              Pass
4096                    0.94              Pass
8192                    1.08              Pass
16384                   1.35              Pass
32768                   1.70              Pass
65536                   2.45              Pass
131072                  3.62              Pass
262144                  7.07              Pass
524288                 18.53              Pass
1048576                33.84              Pass
2097152                64.06              Pass
4194304               126.77              Pass
