0 gpu 4 2
1 gpu 2 2

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       5.74              Pass
2                      11.59              Pass
4                      22.96              Pass
8                      46.14              Pass
16                     82.53              Pass
32                    157.84              Pass
64                    320.99              Pass
128                   471.29              Pass
256                   882.65              Pass
512                  1451.32              Pass
1024                 2657.29              Pass
2048                 5014.36              Pass
4096                 9367.32              Pass
8192                14253.79              Pass
16384               21616.51              Pass
32768               30471.19              Pass
65536               43304.13              Pass
131072              55301.04              Pass
262144              41894.65              Pass
524288              29193.82              Pass
1048576             23079.74              Pass
2097152             21166.89              Pass
4194304             20281.52              Pass
