0 cxi 2 2 shm+cxi:cxi2
0 gpu 4 2
1 cxi 1 2 shm+cxi:cxi1
1 gpu 2 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.75              Pass
2                       0.75              Pass
4                       0.75              Pass
8                       0.75              Pass
16                      0.75              Pass
32                      0.75              Pass
64                      0.88              Pass
128                     0.95              Pass
256                     1.16              Pass
512                     1.19              Pass
1024                    1.22              Pass
2048                    1.42              Pass
4096                    1.77              Pass
8192                    1.11              Pass
16384                   1.33              Pass
32768                   1.65              Pass
65536                   2.36              Pass
131072                  4.38              Pass
262144                  7.13              Pass
524288                 16.23              Pass
1048576                34.38              Pass
2097152                66.04              Pass
4194304               131.56              Pass
