
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.48              Pass
2                       2.48              Pass
4                       2.49              Pass
8                       2.49              Pass
16                      2.49              Pass
32                      2.48              Pass
64                      2.49              Pass
128                     3.02              Pass
256                     3.08              Pass
512                     3.11              Pass
1024                    3.18              Pass
2048                    3.33              Pass
4096                    3.46              Pass
8192                    3.84              Pass
16384                   4.47              Pass
32768                   7.04              Pass
65536                   8.53              Pass
131072                 11.41              Pass
262144                 17.21              Pass
524288                 28.84              Pass
1048576                52.11              Pass
2097152                98.49              Pass
4194304               191.34              Pass
