# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       2.69              Pass
2                       5.39              Pass
4                      10.84              Pass
8                      21.71              Pass
16                     43.45              Pass
32                     87.07              Pass
64                    160.45              Pass
128                   320.72              Pass
256                   528.78              Pass
512                   982.58              Pass
1024                 1782.81              Pass
2048                 2983.73              Pass
4096                 4387.01              Pass
8192                14283.26              Pass
16384               22269.98              Pass
32768               31183.83              Pass
65536               43409.93              Pass
131072              55057.21              Pass
262144              34644.70              Pass
524288              28325.58              Pass
1048576             23774.15              Pass
2097152             22880.70              Pass
4194304             21553.88              Pass
