
# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.60              Pass
2                       2.61              Pass
4                       2.61              Pass
8                       2.83              Pass
16                      2.62              Pass
32                      2.63              Pass
64                      2.64              Pass
128                     3.21              Pass
256                     3.45              Pass
512                     3.61              Pass
1024                    3.78              Pass
2048                    3.97              Pass
4096                    4.34              Pass
8192                  180.83              Pass
16384                  22.76              Pass
32768                  28.15              Pass
65536                  29.37              Pass
131072                 32.10              Pass
262144                 37.45              Pass
524288                 48.40              Pass
1048576                70.04              Pass
2097152               113.04              Pass
4194304               199.62              Pass
