
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       1.36              Pass
2                       2.71              Pass
4                       5.43              Pass
8                      10.86              Pass
16                     21.75              Pass
32                     43.53              Pass
64                     87.18              Pass
128                   173.95              Pass
256                   349.51              Pass
512                   697.70              Pass
1024                 1395.45              Pass
2048                 2788.97              Pass
4096                 5549.80              Pass
8192                10961.50              Pass
16384               19461.26              Pass
32768               19750.62              Pass
65536               27699.69              Pass
131072              30597.16              Pass
262144              30700.40              Pass
524288              28035.20              Pass
1048576             28170.80              Pass
2097152             28158.62              Pass
4194304             28353.74              Pass
