# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.77              Pass
2                       0.77              Pass
4                       0.76              Pass
8                       0.76              Pass
16                      0.76              Pass
32                      0.76              Pass
64                      0.92              Pass
128                     0.97              Pass
256                     1.17              Pass
512                     1.21              Pass
1024                    1.17              Pass
2048                    1.41              Pass
4096                    1.73              Pass
8192                    1.12              Pass
16384                   1.35              Pass
32768                   1.67              Pass
65536                   2.28              Pass
131072                  4.61              Pass
262144                  7.55              Pass
524288                 16.41              Pass
1048576                34.63              Pass
2097152                65.02              Pass
4194304               131.40              Pass
