# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.76              Pass
2                       0.76              Pass
4                       0.75              Pass
8                       0.75              Pass
16                      0.75              Pass
32                      0.75              Pass
64                      0.88              Pass
128                     0.94              Pass
256                     1.16              Pass
512                     1.18              Pass
1024                    1.18              Pass
2048                    1.42              Pass
4096                    1.75              Pass
8192                    1.10              Pass
16384                   1.35              Pass
32768                   1.66              Pass
65536                   2.35              Pass
131072                  4.06              Pass
262144                  7.25              Pass
524288                 16.44              Pass
1048576                34.71              Pass
2097152                64.86              Pass
4194304               130.53              Pass
