# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      59.12
2                      58.74
4                      58.72
8                      58.92
16                     59.06
32                     59.02
64                     59.20
128                    59.29
256                    59.42
512                    58.25
1024                   58.37
2048                   58.43
4096                   58.73
8192                   58.94
16384                  58.58
32768                  58.17
65536                  60.43
131072                 58.25
262144                 58.08
524288                 75.65
1048576                69.18
