# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      45.05
2                      44.95
4                      45.48
8                      45.01
16                     45.02
32                     45.13
64                     45.08
128                    45.09
256                    44.99
512                    45.17
1024                   45.08
2048                   45.24
4096                   45.49
8192                   45.90
16384                  45.98
32768                  46.86
65536                  47.69
131072                 49.72
262144                 53.52
524288                 63.15
1048576                72.15
