# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.98
2                      16.61
4                      16.61
8                      16.64
16                     16.72
32                     16.82
64                     16.82
128                    16.11
256                    16.90
512                    17.01
1024                   17.06
2048                   17.33
4096                   17.60
8192                   18.62
16384                  19.29
32768                  23.09
65536                  27.31
131072                 36.50
262144                 53.99
524288                104.92
1048576               155.75
