# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.17
8                      30.56
16                     30.52
32                     30.47
64                     31.45
128                    30.96
256                    34.96
512                    36.11
1024                   38.37
2048                   39.72
4096                   41.63
8192                   55.28
16384                  59.34
32768                  70.21
65536                  86.29
131072                110.06
262144                161.24
524288                269.94
1048576               488.58
