# Collective test starting: all_gather_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0
#
rccl-tests: Version develop_deprecated:40b1b17
#  Rank 51 Group  0 Pid  16791 on  nid005797 device  0 [0000:ce:00] AMD Instinct MI250X
#  Rank 52 Group  0 Pid  16792 on  nid005797 device  0 [0000:d9:00] AMD Instinct MI250X
#  Rank 53 Group  0 Pid  16794 on  nid005797 device  0 [0000:de:00] AMD Instinct MI250X
#  Rank 54 Group  0 Pid  16800 on  nid005797 device  0 [0000:c1:00] AMD Instinct MI250X
#  Rank 55 Group  0 Pid  16796 on  nid005797 device  0 [0000:c6:00] AMD Instinct MI250X
#  Rank 56 Group  0 Pid  43442 on  nid005885 device  0 [0000:d1:00] AMD Instinct MI250X
#  Rank 57 Group  0 Pid  43444 on  nid005885 device  0 [0000:d6:00] AMD Instinct MI250X
#  Rank 58 Group  0 Pid  43443 on  nid005885 device  0 [0000:c9:00] AMD Instinct MI250X
#  Rank 59 Group  0 Pid  43445 on  nid005885 device  0 [0000:ce:00] AMD Instinct MI250X
#  Rank 60 Group  0 Pid  43446 on  nid005885 device  0 [0000:d9:00] AMD Instinct MI250X
#  Rank 61 Group  0 Pid  43448 on  nid005885 device  0 [0000:de:00] AMD Instinct MI250X
#  Rank 62 Group  0 Pid  43451 on  nid005885 device  0 [0000:c1:00] AMD Instinct MI250X
#  Rank 63 Group  0 Pid  43454 on  nid005885 device  0 [0000:c6:00] AMD Instinct MI250X
#  Rank 64 Group  0 Pid  89037 on  nid005894 device  0 [0000:d1:00] AMD Instinct MI250X
#  Rank 65 Group  0 Pid  89033 on  nid005894 device  0 [0000:d6:00] AMD Instinct MI250X
#  Rank 66 Group  0 Pid  89034 on  nid005894 device  0 [0000:c9:00] AMD Instinct MI250X
#  Rank 67 Group  0 Pid  89035 on  nid005894 device  0 [0000:ce:00] AMD Instinct MI250X
#  Rank 68 Group  0 Pid  89036 on  nid005894 device  0 [0000:d9:00] AMD Instinct MI250X
#  Rank 69 Group  0 Pid  89039 on  nid005894 device  0 [0000:de:00] AMD Instinct MI250X
#  Rank 70 Group  0 Pid  89043 on  nid005894 device  0 [0000:c1:00] AMD Instinct MI250X
#  Rank 71 Group  0 Pid  89045 on  nid005894 device  0 [0000:c6:00] AMD Instinct MI250X
#  Rank 72 Group  0 Pid  20423 on  nid005902 device  0 [0000:d1:00] AMD Instinct MI250X
#  Rank 73 Group  0 Pid  20424 on  nid005902 device  0 [0000:d6:00] AMD Instinct MI250X
#  Rank 74 Group  0 Pid  20426 on  nid005902 device  0 [0000:c9:00] AMD Instinct MI250X
#  Rank 75 Group  0 Pid  20425 on  nid005902 device  0 [0000:ce:00] AMD Instinct MI250X
#  Rank 76 Group  0 Pid  20427 on  nid005902 device  0 [0000:d9:00] AMD Instinct MI250X
#  Rank 77 Group  0 Pid  20436 on  nid005902 device  0 [0000:de:00] AMD Instinct MI250X
#  Rank 78 Group  0 Pid  20434 on  nid005902 device  0 [0000:c1:00] AMD Instinct MI250X
#  Rank 79 Group  0 Pid  20428 on  nid005902 device  0 [0000:c6:00] AMD Instinct MI250X
#  Rank 80 Group  0 Pid 126319 on  nid005915 device  0 [0000:d1:00] AMD Instinct MI250X
#  Rank 81 Group  0 Pid 126320 on  nid005915 device  0 [0000:d6:00] AMD Instinct MI250X
#  Rank 82 Group  0 Pid 126321 on  nid005915 device  0 [0000:c9:00] AMD Instinct MI250X
#  Rank 83 Group  0 Pid 126326 on  nid005915 device  0 [0000:ce:00] AMD Instinct MI250X
#  Rank 84 Group  0 Pid 126322 on  nid005915 device  0 [0000:d9:00] AMD Instinct MI250X
#  Rank 85 Group  0 Pid 126323 on  nid005915 device  0 [0000:de:00] AMD Instinct MI250X
#  Rank 86 Group  0 Pid 126328 on  nid005915 device  0 [0000:c1:00] AMD Instinct MI250X
#  Rank 87 Group  0 Pid 126331 on  nid005915 device  0 [0000:c6:00] AMD Instinct MI250X
#  Rank 88 Group  0 Pid  39515 on  nid005919 device  0 [0000:d1:00] AMD Instinct MI250X
#  Rank 89 Group  0 Pid  39516 on  nid005919 device  0 [0000:d6:00] AMD Instinct MI250X
#  Rank 90 Group  0 Pid  39517 on  nid005919 device  0 [0000:c9:00] AMD Instinct MI250X
#  Rank 91 Group  0 Pid  39526 on  nid005919 device  0 [0000:ce:00] AMD Instinct MI250X
#  Rank 92 Group  0 Pid  39518 on  nid005919 device  0 [0000:d9:00] AMD Instinct MI250X
#  Rank 93 Group  0 Pid  39520 on  nid005919 device  0 [0000:de:00] AMD Instinct MI250X
#  Rank 94 Group  0 Pid  39519 on  nid005919 device  0 [0000:c1:00] AMD Instinct MI250X
#  Rank 95 Group  0 Pid  39529 on  nid005919 device  0 [0000:c6:00] AMD Instinct MI250X
#  Rank 96 Group  0 Pid   2880 on  nid005945 device  0 [0000:d1:00] AMD Instinct MI250X
#  Rank 97 Group  0 Pid   2882 on  nid005945 device  0 [0000:d6:00] AMD Instinct MI250X
#  Rank 98 Group  0 Pid   2881 on  nid005945 device  0 [0000:c9:00] AMD Instinct MI250X
#  Rank 99 Group  0 Pid   2883 on  nid005945 device  0 [0000:ce:00] AMD Instinct MI250X
#  Rank 100 Group  0 Pid   2884 on  nid005945 device  0 [0000:d9:00] AMD Instinct MI250X
#  Rank 101 Group  0 Pid   2886 on  nid005945 device  0 [0000:de:00] AMD Instinct MI250X
#  Rank 102 Group  0 Pid   2892 on  nid005945 device  0 [0000:c1:00] AMD Instinct MI250X
#  Rank 103 Group  0 Pid   2894 on  nid005945 device  0 [0000:c6:00] AMD Instinct MI250X
#  Rank 104 Group  0 Pid  29909 on  nid005959 device  0 [0000:d1:00] AMD Instinct MI250X
#  Rank 105 Group  0 Pid  29911 on  nid005959 device  0 [0000:d6:00] AMD Instinct MI250X
#  Rank 106 Group  0 Pid  29910 on  nid005959 device  0 [0000:c9:00] AMD Instinct MI250X
#  Rank 107 Group  0 Pid  29912 on  nid005959 device  0 [0000:ce:00] AMD Instinct MI250X
#  Rank 108 Group  0 Pid  29913 on  nid005959 device  0 [0000:d9:00] AMD Instinct MI250X
#  Rank 109 Group  0 Pid  29915 on  nid005959 device  0 [0000:de:00] AMD Instinct MI250X
#  Rank 110 Group  0 Pid  29917 on  nid005959 device  0 [0000:c1:00] AMD Instinct MI250X
#  Rank 111 Group  0 Pid  29921 on  nid005959 device  0 [0000:c6:00] AMD Instinct MI250X
#  Rank 112 Group  0 Pid 101136 on  nid005971 device  0 [0000:d1:00] AMD Instinct MI250X
#  Rank 113 Group  0 Pid 101138 on  nid005971 device  0 [0000:d6:00] AMD Instinct MI250X
#  Rank 114 Group  0 Pid 101137 on  nid005971 device  0 [0000:c9:00] AMD Instinct MI250X
#  Rank 115 Group  0 Pid 101139 on  nid005971 device  0 [0000:ce:00] AMD Instinct MI250X
#  Rank 116 Group  0 Pid 101140 on  nid005971 device  0 [0000:d9:00] AMD Instinct MI250X
#  Rank 117 Group  0 Pid 101142 on  nid005971 device  0 [0000:de:00] AMD Instinct MI250X
#  Rank 118 Group  0 Pid 101144 on  nid005971 device  0 [0000:c1:00] AMD Instinct MI250X
#  Rank 119 Group  0 Pid 101149 on  nid005971 device  0 [0000:c6:00] AMD Instinct MI250X
#  Rank 120 Group  0 Pid  25105 on  nid005977 device  0 [0000:d1:00] AMD Instinct MI250X
#  Rank 121 Group  0 Pid  25106 on  nid005977 device  0 [0000:d6:00] AMD Instinct MI250X
#  Rank 122 Group  0 Pid  25108 on  nid005977 device  0 [0000:c9:00] AMD Instinct MI250X
#  Rank 123 Group  0 Pid  25107 on  nid005977 device  0 [0000:ce:00] AMD Instinct MI250X
#  Rank 124 Group  0 Pid  25111 on  nid005977 device  0 [0000:d9:00] AMD Instinct MI250X
#  Rank 125 Group  0 Pid  25109 on  nid005977 device  0 [0000:de:00] AMD Instinct MI250X
#  Rank 126 Group  0 Pid  25117 on  nid005977 device  0 [0000:c1:00] AMD Instinct MI250X
#  Rank 127 Group  0 Pid  25114 on  nid005977 device  0 [0000:c6:00] AMD Instinct MI250X
