# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      31.35
2                      31.90
4                      32.74
8                      34.17
16                     36.77
32                     49.29
64                     59.76
128                   117.31
256                   142.32
512                   315.25
1024                  424.70
2048                  610.61
4096                 1000.83
8192                 2527.77
16384                4610.93
32768                8510.14
65536               16150.68
131072              32115.28
262144              88749.12
524288             190778.13
1048576            389701.45
