# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.51
2                       9.44
4                       9.50
8                       9.44
16                      9.40
32                      9.53
64                      9.17
128                     9.27
256                    10.43
512                    10.51
1024                   10.78
2048                   10.80
4096                   11.57
8192                   15.68
16384                  21.46
32768                  32.46
65536                  55.74
131072                108.92
262144                210.94
524288                435.64
1048576               900.54
