# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.66
8                       1.71
16                      1.80
32                      1.86
64                      1.89
128                     1.90
256                     2.01
512                     4.14
1024                    4.77
2048                    7.31
4096                    9.46
8192                   11.63
16384                  15.34
32768                  21.84
65536                  34.42
131072                 60.83
262144                106.17
524288                208.84
1048576               412.13
