# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.00
2                      23.27
4                      24.09
8                      24.94
16                     26.51
32                     28.11
64                     36.11
128                    40.43
256                    44.33
512                    56.65
1024                   73.80
2048                   99.51
4096                  150.83
8192                  254.46
16384                 477.69
32768                 944.93
65536                1841.93
131072               3837.83
262144               8906.62
524288              20999.68
1048576             43895.12
