# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      46.38
2                      59.87
4                      60.43
8                      62.73
16                     65.75
32                     82.25
64                    106.39
128                   126.02
256                   196.92
512                   262.72
1024                  313.44
2048                  321.06
4096                  329.54
8192                  408.93
16384                 658.84
32768                3698.32
65536                4491.39
131072               6532.07
262144              10664.03
524288              19853.26
1048576             39661.63
