# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.31
2                      19.54
4                      19.86
8                      21.74
16                     23.55
32                     25.33
64                     26.58
128                    41.06
256                    43.31
512                    52.33
1024                   52.42
2048                   69.98
4096                  103.11
8192                  156.66
16384                 253.89
32768                 446.91
65536                 837.39
131072               1612.05
262144               3151.18
524288               6396.06
1048576             12701.12
