# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      45.09
2                      59.18
4                      60.10
8                      69.58
16                     64.99
32                     69.09
64                    150.24
128                   177.42
256                   223.87
512                   311.72
1024                  282.54
2048                  306.04
4096                  337.89
8192                  429.39
16384                 630.90
32768                4745.56
65536                5426.75
131072               6869.09
262144               9765.97
524288              15616.14
1048576             27080.08
