# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.77
8                      28.72
16                     28.63
32                     29.05
64                     45.96
128                    48.63
256                    49.94
512                    52.26
1024                   54.16
2048                   94.08
4096                   61.69
8192                   74.62
16384                  95.15
32768                 124.48
65536                 177.02
131072                290.70
262144                517.43
524288                971.80
1048576              1870.66
