# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.16
2                      19.51
4                      20.25
8                      21.02
16                     21.81
32                     22.54
64                     24.75
128                    32.21
256                    39.00
512                    47.42
1024                   65.23
2048                   79.14
4096                  105.73
8192                  158.54
16384                 272.73
32768                 516.99
65536                1007.54
131072               1965.14
262144               3950.46
524288               8895.52
1048576             20719.34
