# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.69
2                      29.69
4                      31.54
8                      33.39
16                     36.14
32                     48.37
64                     49.12
128                    59.91
256                    59.09
512                    78.22
1024                   97.69
2048                  138.33
4096                  216.29
8192                  369.82
16384                 676.81
32768                1294.32
65536                2465.93
131072               4853.28
262144               9753.15
524288              19745.46
1048576             40029.74
