# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.71
2                      12.31
4                      12.80
8                      13.17
16                     14.37
32                     14.70
64                     16.06
128                    17.21
256                    23.37
512                    27.53
1024                   33.49
2048                   42.02
4096                   57.42
8192                   88.58
16384                 151.60
32768                 289.30
65536                 566.34
131072               1130.74
262144               2199.71
524288               4556.82
1048576              9700.19
