# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      58.15
2                      57.94
4                      57.99
8                      58.18
16                     58.06
32                     58.16
64                     58.51
128                    59.36
256                    59.68
512                    60.69
1024                   63.80
2048                   70.93
4096                  215.86
8192                  222.58
16384                 238.63
32768                 222.47
65536                 229.53
131072                245.89
262144                276.03
524288                354.03
1048576               649.23
