# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       7.50
2                       7.36
4                       7.57
8                       7.52
16                      7.50
32                      7.66
64                      7.64
128                     7.73
256                     8.55
512                    12.67
1024                    8.93
2048                    9.49
4096                   10.43
8192                   16.31
16384                  24.47
32768                  38.02
65536                  63.58
131072                114.68
262144                221.47
524288                442.58
1048576               871.24
