# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.71
8                      29.60
16                     29.65
32                     41.84
64                     41.00
128                    44.88
256                    47.60
512                    49.68
1024                   52.56
2048                   54.84
4096                   59.58
8192                   76.96
16384                  91.04
32768                 117.09
65536                 171.50
131072                273.58
262144                491.40
524288                915.76
1048576              1748.74
