# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.25
8                      10.39
16                     10.31
32                     10.51
64                     10.62
128                    11.13
256                    13.41
512                    13.63
1024                   14.09
2048                   15.39
4096                   17.41
8192                   29.79
16384                  36.34
32768                  47.18
65536                  72.09
131072                116.56
262144                218.30
524288                417.05
1048576               806.35
