# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      24.10
8                      24.06
16                     23.97
32                     36.45
64                     37.84
128                    39.76
256                    41.10
512                    42.65
1024                   44.59
2048                   52.81
4096                   54.68
8192                   69.72
16384                  95.74
32768                 126.58
65536                 177.66
131072                304.25
262144                561.38
524288               1056.84
1048576              1986.47
