# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.20
8                      28.50
16                     28.71
32                     41.88
64                     41.11
128                    45.70
256                    48.78
512                    51.03
1024                   76.99
2048                   61.92
4096                   65.00
8192                  113.40
16384                 138.55
32768                 170.89
65536                 243.60
131072                385.82
262144                677.13
524288               1236.89
1048576              2356.18
