# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      27.92
8                      28.60
16                     28.54
32                     41.56
64                     40.83
128                    45.07
256                    48.04
512                    50.37
1024                   75.79
2048                   60.69
4096                   63.36
8192                  111.30
16384                 138.15
32768                 170.69
65536                 234.83
131072                372.24
262144                652.30
524288               1222.22
1048576              2349.47
