# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.73
2                       6.06
4                       5.80
8                       5.70
16                      5.74
32                      5.73
64                      6.02
128                     6.15
256                     9.18
512                     9.31
1024                    9.53
2048                   10.40
4096                   13.19
8192                   23.83
16384                  36.98
32768                  63.10
65536                 115.91
131072                223.25
262144                435.47
524288                856.27
1048576              1869.21
