# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      26.32
2                      27.95
4                      29.96
8                      31.55
16                     33.88
32                     37.28
64                     42.84
128                    48.22
256                    51.26
512                    64.84
1024                   86.11
2048                  124.60
4096                  199.57
8192                  346.43
16384                 648.79
32768                1254.85
65536                2469.82
131072               4884.56
262144               9745.09
524288              19798.08
1048576             39294.55
