# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      22.24
8                      23.01
16                     29.61
32                     29.69
64                     29.00
128                    33.02
256                    34.63
512                    36.14
1024                   37.22
2048                   38.86
4096                   43.17
8192                   55.55
16384                  66.81
32768                  84.98
65536                 123.95
131072                206.32
262144                374.60
524288                696.97
1048576              1342.67
