# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.31
2                      16.24
4                      15.50
8                      15.65
16                     17.18
32                     18.62
64                     19.29
128                    20.24
256                    22.18
512                    26.78
1024                   29.78
2048                   34.73
4096                   49.76
8192                   77.74
16384                 136.06
32768                 249.20
65536                 493.04
131072                975.10
262144               1720.24
524288               3714.19
1048576              7424.41
